CASE#,X,Y,cluster_label
JK179793,1186316.0,1874114.0,1
JK146357,1153603.0,1892824.0,0
JJ464449,1152494.0,1932484.0,0
JJ394984,1134904.0,1923304.0,0
JK243577,1132103.0,1912274.0,0
JK200780,1199205.0,1846953.0,1
JK127387,1151586.0,1904708.0,0
JK216257,1143726.0,1915523.0,0
JK234053,1179938.0,1865763.0,1
JK250709,1149775.0,1905050.0,0
JK141650,1145740.0,1864070.0,1
JJ515821,1179020.0,1867030.0,1
JJ449432,1175243.0,1855656.0,1
JJ294317,1180014.0,1862874.0,1
JJ431923,1171801.0,1924168.0,0
JJ490581,1156029.0,1886572.0,0
JK192668,1171428.0,1861573.0,1
JJ379141,1204784.0,1835011.0,1
JK249169,1176778.0,1852607.0,1
JK161538,1168054.0,1871603.0,1
JK139474,1161162.0,1891026.0,0
JJ362355,1193045.0,1853042.0,1
JJ356930,1145011.0,1910225.0,0
JJ284395,1201989.0,1835277.0,1
JJ524516,1177483.0,1852629.0,1
JK172738,1164967.0,1890784.0,0
JJ302012,1176818.0,1895074.0,0
JJ456836,1172525.0,1819912.0,1
JK164898,1181999.0,1862489.0,1
JJ373930,1147996.0,1886369.0,0
JJ508613,1196767.0,1819030.0,1
JK160331,1174831.0,1824305.0,1
JJ312300,1177416.0,1895928.0,0
JK124946,1169579.0,1900212.0,0
JJ296463,1148530.0,1846476.0,1
JJ329166,1182685.0,1854788.0,1
JJ430246,1166334.0,1839042.0,1
JJ313661,1136127.0,1925985.0,0
JJ496690,1167485.0,1929875.0,0
JK143878,1161135.0,1942679.0,0
JJ285989,1154247.0,1926417.0,0
JJ385123,1180796.0,1904058.0,0
JJ360228,1199559.0,1847671.0,1
JK213876,1177569.0,1855637.0,1
JK199066,1183338.0,1850547.0,1
JK242227,1177419.0,1894900.0,0
JJ410686,1173676.0,1909694.0,0
JJ283118,1171908.0,1827823.0,1
JK232453,1160278.0,1894974.0,0
JJ444396,1177348.0,1903717.0,0
JK216735,1193829.0,1838181.0,1
JK177926,1169320.0,1900208.0,0
JJ386184,1180442.0,1876614.0,1
JJ386880,1153460.0,1901460.0,0
JJ539202,1148409.0,1912589.0,0
JJ340991,1170838.0,1835429.0,1
JK158433,1138446.0,1900176.0,0
JK127014,1201844.0,1835647.0,1
JJ269166,1170399.0,1931093.0,0
JJ467041,1164820.0,1930921.0,0
JJ389803,1157909.0,1906872.0,0
JJ512523,1135916.0,1915323.0,0
JJ519315,1182133.0,1850775.0,1
JK256532,1134109.0,1917944.0,0
JJ388240,1137621.0,1916345.0,0
JK168724,1147182.0,1913938.0,0
JJ326457,1147560.0,1898002.0,0
JK177126,1167075.0,1943506.0,0
JJ470087,1161881.0,1934861.0,0
JJ278357,1168583.0,1923729.0,0
JK139236,1157770.0,1886954.0,0
JK186581,1137055.0,1862130.0,1
JK228933,1148804.0,1922008.0,0
JJ379515,1176918.0,1896566.0,0
JK196670,1170435.0,1899605.0,0
JK217500,1195373.0,1854425.0,1
JJ438531,1173048.0,1828494.0,1
JJ381073,1153936.0,1937493.0,0
JK239485,1144295.0,1926174.0,0
JJ345294,1106955.0,1941060.0,0
JJ452183,1166911.0,1857552.0,1
JJ474488,1156049.0,1865737.0,1
JJ285539,1181493.0,1893722.0,0
JK113564,1157818.0,1886955.0,0
JJ455112,1148441.0,1862970.0,1
JJ479547,1171076.0,1923738.0,0
JK121674,1158071.0,1894595.0,0
JK212998,1179379.0,1882201.0,1
JK170608,1167345.0,1906138.0,0
JJ352872,1160781.0,1899960.0,0
JJ398430,1202485.0,1837657.0,1
JJ360600,1168832.0,1914131.0,0
JK202306,1179489.0,1879516.0,1
JK252854,1190762.0,1858684.0,1
JJ527584,1172558.0,1900778.0,0
JK228802,1174628.0,1820394.0,1
JJ507355,1188381.0,1859994.0,1
JK120695,1178745.0,1865281.0,1
JJ304808,1176684.0,1888794.0,0
JJ499118,1156162.0,1942576.0,0
JJ491541,1178200.0,1893521.0,0
JJ292764,1178858.0,1873010.0,1
JJ292062,1161610.0,1857264.0,1
JJ376446,1186364.0,1873970.0,1
JK253171,1163966.0,1855869.0,1
JK207568,1193497.0,1856026.0,1
JJ425535,1169022.0,1857363.0,1
JK222301,1156785.0,1889238.0,0
JJ393735,1166533.0,1831078.0,1
JK188182,1194552.0,1834934.0,1
JJ374625,1149747.0,1886414.0,0
JJ263398,1162659.0,1898621.0,0
JJ375804,1155859.0,1941891.0,0
JK233247,1158461.0,1850483.0,1
JK238171,1183005.0,1873039.0,1
JJ280690,1171005.0,1852824.0,1
JJ352429,1162728.0,1912578.0,0
JK124936,1178253.0,1868584.0,1
JJ289672,1181369.0,1846754.0,1
JK135329,1176389.0,1900278.0,0
JK212428,1150242.0,1894150.0,0
JJ327803,1160055.0,1899942.0,0
JJ451581,1139393.0,1904296.0,0
JJ392883,1155997.0,1864663.0,1
JJ499765,1149130.0,1897594.0,0
JK144583,1165480.0,1909088.0,0
JK219544,1162690.0,1913894.0,0
JK104104,1166876.0,1858796.0,1
JJ499382,1177650.0,1852817.0,1
JJ365779,1142574.0,1917996.0,0
JJ512173,1182271.0,1852545.0,1
JJ433201,1179896.0,1843057.0,1
JJ267478,1157485.0,1920487.0,0
JJ288515,1164132.0,1909682.0,0
JK213386,1143291.0,1898731.0,0
JJ433726,1157846.0,1895550.0,0
JJ534542,1172246.0,1868087.0,1
JJ450409,1168656.0,1891364.0,0
JJ500477,1177361.0,1903270.0,0
JJ313280,1164835.0,1872529.0,1
JJ477835,1164433.0,1938455.0,0
JK225514,1190683.0,1848145.0,1
JK177430,1138712.0,1909741.0,0
JK138213,1142793.0,1904852.0,0
JJ520833,1153111.0,1922860.0,0
JJ341971,1176447.0,1897923.0,0
JK167519,1129515.0,1920654.0,0
JJ322870,1171826.0,1925510.0,0
JJ509632,1173772.0,1920055.0,0
JJ266552,1166473.0,1865585.0,1
JK200401,1153739.0,1849309.0,1
JK206206,1166759.0,1862652.0,1
JJ479898,1145654.0,1866253.0,1
JJ426176,1158799.0,1862584.0,1
JJ474352,1191694.0,1847410.0,1
JJ475588,1168151.0,1940184.0,0
JJ452999,1143941.0,1926170.0,0
JK238814,1166981.0,1945453.0,0
JK214278,1158732.0,1864995.0,1
JJ398413,1174755.0,1861399.0,1
JK219718,1151219.0,1930570.0,0
JJ469274,1185269.0,1864636.0,1
JJ280072,1173444.0,1901384.0,0
JJ369259,1169906.0,1933191.0,0
JK184217,1158548.0,1901906.0,0
JJ269407,1171308.0,1863061.0,1
JJ396731,1177578.0,1888846.0,0
JK119432,1169705.0,1864024.0,1
JJ397704,1140503.0,1912148.0,0
JJ281129,1168739.0,1899717.0,0
JJ298348,1153368.0,1921084.0,0
JK219552,1172107.0,1885385.0,0
JK149319,1167669.0,1873585.0,1
JK141443,1180661.0,1851059.0,1
JK235337,1165630.0,1834806.0,1
JJ390666,1159327.0,1936812.0,0
JJ306129,1182824.0,1833681.0,1
JK147629,1136150.0,1862473.0,1
JJ422583,1156220.0,1893242.0,0
JK240243,1167930.0,1893446.0,0
JK111918,1172960.0,1915889.0,0
JJ317132,1175610.0,1897874.0,0
JK104995,1177074.0,1904512.0,0
JK156651,1169246.0,1844843.0,1
JK145705,1176607.0,1891853.0,0
JK208931,1160867.0,1917657.0,0
JJ277804,1155195.0,1864309.0,1
JJ419251,1171192.0,1842538.0,1
JK221157,1167719.0,1934285.0,0
JJ365224,1177319.0,1852276.0,1
JJ346333,1171065.0,1857751.0,1
JJ422228,1171070.0,1899648.0,0
JK244006,1160944.0,1943135.0,0
JJ293910,1161162.0,1873367.0,1
JK246952,1168290.0,1926060.0,0
JJ496844,1203183.0,1833602.0,1
JK179800,1177790.0,1836341.0,1
JK246857,1154445.0,1922614.0,0
JK179344,1171042.0,1891859.0,0
JJ384375,1168918.0,1899259.0,0
JJ456393,1156373.0,1836151.0,1
JK247951,1156343.0,1898537.0,0
JK170817,1162909.0,1929906.0,0
JK193444,1159264.0,1869711.0,1
JJ337781,1178263.0,1863570.0,1
JJ458231,1187570.0,1863935.0,1
